"town_order","town","zip_order_within_town","zip_code","dist_mi","median_household_income_usd","median_household_income_margin_of_error_usd","shared_zip_in_input","note","acs_period","income_year_basis","metric","census_table","census_variable","source_url"
"13","Short Hills","1","07078","8","250001","","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"14","South Plainfield","1","07080","8","130205","8140","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"15","Warren","1","07059","8","212479","34496","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"16","Edison","1","08820","9","171363","13073","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"16","Edison","2","08817","9","110808","7253","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"16","Edison","3","08837","9","102605","7567","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"17","Green Brook","1","08812","9","118316","15815","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"18","Metuchen","1","08840","9","146635","13370","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"19","Woodbridge","1","07095","10","104926","12744","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"20","Maplewood","1","07040","11","173500","36582","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"21","South Orange","1","07079","11","195417","19355","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"22","Livingston","1","07039","12","229806","19424","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"23","Bridgewater","1","08807","13","168696","13528","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"24","Long Hill","1","07980","13","162955","51178","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"24","Long Hill","2","07933","13","","","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"24","Long Hill","3","07946","13","208587","43371","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"25","West Orange","1","07052","13","129475","14311","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"26","Basking Ridge","1","07920","14","192857","17291","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"27","Glen Ridge","1","07028","14","247361","41035","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"28","Verona","1","07044","14","161843","15990","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"29","Essex Fells","1","07021","15","250001","","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"30","Florham Park","1","07932","15","156458","18392","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"31","Montclair","1","07042","15","122847","9327","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"31","Montclair","2","07043","15","250001","","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"32","Roseland","1","07068","15","164458","33332","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"33","Caldwell","1","07006","16","149102","8817","yes","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"34","Cedar Grove","1","07009","16","151625","17495","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"35","North Caldwell","1","07006","16","149102","8817","yes","Shares 07006 with Caldwell and West Caldwell; income is ZIP/ZCTA-level, so this row has the same estimate as Caldwell.","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"36","Bedminster","1","07921","17","123104","10573","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"37","Chatham","1","07928","17","220982","22182","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"38","Madison","1","07940","17","172708","19409","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"39","Nutley","1","07110","17","119646","7827","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"40","Branchburg","1","08876","18","122884","7527","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"41","Morristown","1","07960","19","160334","8522","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"42","Cedar Knolls","1","07927","20","170400","38419","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"43","Morris Plains","1","07950","21","153762","4189","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"44","Denville","1","07834","22","156902","17313","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"45","Glen Rock","1","07452","22","215096","18218","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"46","Mendham","1","07945","22","250001","","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"47","Boonton","1","07005","23","132629","13206","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"48","Montville","1","07045","23","185078","47119","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"49","Franklin Lakes","1","07417","24","236023","26399","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"50","Towaco","1","07082","25","205023","64896","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"51","Randolph","1","07869","25","169497","13265","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"52","Chester","1","07930","26","240954","17625","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
"53","Long Valley","1","07853","29","175792","23066","no","","2020-2024 ACS 5-year","2024 inflation-adjusted dollars","Median household income","B19013","B19013_E001","https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/acsdt5y2024-b19013.dat"
