town,dist_mi_from_westfield,has_train_station,station_name,rail_line,direct_train_to_manhattan,train_transfer_at,train_minutes_to_manhattan,nearest_station_if_none,has_bus_to_port_authority,bus_route,bus_minutes_to_port_authority,best_transit_minutes,best_transit_mode,confidence,notes
Berkeley Heights,7,True,Berkeley Heights,Morris & Essex - Gladstone Branch,True,,58,,True,Lakeland 78,55,55,bus,high,"Only a SMALL number of AM-peak Gladstone trains are Midtown Direct one-seat rides (verified 6:30->7:28, 7:10->8:12); most peak Gladstone columns terminate at Hoboken and riders change at Summit. Lakeland 78 is RUSH-ONLY: just 4 AM eastbound trips, 50-60 min."
Millburn,7,True,Millburn,Morris & Essex - Morristown Line,True,,38,,False,,,38,train,medium,"Millburn station, M&E Midtown Direct — one stop INSIDE Short Hills, so faster. Published guides put peak Midtown Direct at ~35 min (range 30-45); Short Hills' own row is a timetable-verified 39-47. 38 is the consistent read. CONFIDENCE MEDIUM: sourced from commuter guides, not from a timetable I opened — unlike Short Hills. Same Hoboken-train caveat applies: not every AM-peak train is Midtown Direct."
New Providence,7,True,New Providence; Murray Hill,M&E Gladstone Branch,False,Summit,53,,True,Lakeland 78,48,48,bus,high,"Gladstone Branch: only TWO AM one-seat 'Midtown Direct' trains (6406, 6410) — every other peak train goes to Hoboken, so the typical rider transfers at Summit. Marked direct=false as the realistic case."
Short Hills,8,True,Short Hills,Morris & Essex - Morristown Line,True,,40,,False,,,40,train,high,"Midtown Direct to NY Penn verified 39-47 min. CAVEAT: several AM-peak Short Hills trains (7:42, 8:03, 8:42) are HOBOKEN trains, not Midtown Direct - riders must time to the MD trains. No commuter bus to PABT (not on Lakeland 78's stop list; Community Coach does not serve Millburn Twp)."
South Plainfield,8,False,,Northeast Corridor,True,,48,"Metuchen (in Metuchen, ~5 mi)",False,,,48,train,medium,"No station. Metuchen (~5 mi, NEC) is one-seat to NY Penn, verified 45-50 min - excludes a real 5-mi drive. The NEARER stations (Dunellen, Plainfield, ~3-4 mi) are Raritan Valley Line, which has NO peak one-seat ride, so the farther NEC station is the better commute. No PABT bus: South Plainfield is NOT on the NJT 114/117 stop list (issued 7/1/26) despite third-party trip planners claiming otherwise."
Warren,8,False,,,False,Newark Penn or Summit,,"Dunellen (~4 mi, RVL); also Berkeley Heights / Basking Ridge (Gladstone)",True,"Lakeland 78 (Warren Park & Ride, express)",48,48,bus,low,"train_minutes is NULL on purpose: Warren is large with no station, and the nearest station depends entirely on where in the township you are (~62-80 min range). Not a point estimate. The Lakeland 78 express from the Warren P&R is the reliable option at 48 min."
Edison,9,True,Edison,Northeast Corridor,True,,50,,False,,,50,train,high,"Direct NEC to Penn. No PABT bus — Suburban Transit serves Princeton/the Brunswicks, not Edison. Metropark (also Woodbridge, nearby) is the faster express option at ~40 min."
Green Brook,9,False,,Raritan Valley Line,False,Newark Penn,62,"Dunellen (in Dunellen Boro, ~1.2 mi)",False,,,62,train,medium,"No station, no in-town PABT bus. RVL via Dunellen with a Newark Penn transfer."
Metuchen,9,True,Metuchen,Northeast Corridor,True,,45,,False,,,45,train,high,"Direct NEC, 45 min, walkable downtown station. Rail only — no PABT bus."
Gillette,10,True,Gillette,M&E Gladstone Branch,False,Summit,65,,True,Lakeland 78,60,60,bus,high,"Gillette station, M&E Gladstone Branch; typically transfer at Summit. Time taken from the Long Hill row's own note, which recorded all three stations separately (Stirling 68, Gillette 65, Millington 70) — this is that number, not a township average. Bus: Lakeland 78 to PABT, and note it is rush-only with very few trips."
Stirling,10,True,Stirling,M&E Gladstone Branch,False,Summit,68,,True,Lakeland 78,60,60,bus,high,"Stirling station, M&E Gladstone Branch; typically transfer at Summit. Time taken from the Long Hill row's own note, which recorded all three stations separately (Stirling 68, Gillette 65, Millington 70) — this is that number, not a township average. Bus: Lakeland 78 to PABT, and note it is rush-only with very few trips."
Woodbridge,10,True,Woodbridge,North Jersey Coast Line,True,,45,,True,NJT 116,59,45,train,high,"One-seat AM-peak to NY Penn. Range is wide and depends entirely on express vs local: express 39-42 min, all-stops local 61 min. Reported 45 = typical peak. NOTE Woodbridge is NOT on the Northeast Corridor timetable (NEC trains bypass it) - North Jersey Coast Line only. Bus 116 a consistent 59 min, runs all day."
Maplewood,11,True,Maplewood,M&E Morristown Line (Midtown Direct),True,,40,,True,NJT 107/107X,55,40,train,high,Midtown Direct one-seat to Penn in 40 min. Train beats the bus comfortably.
Millington,11,True,Millington,M&E Gladstone Branch,False,Summit,70,,True,Lakeland 78,60,60,bus,high,"Millington station, M&E Gladstone Branch; typically transfer at Summit. Time taken from the Long Hill row's own note, which recorded all three stations separately (Stirling 68, Gillette 65, Millington 70) — this is that number, not a township average. Bus: Lakeland 78 to PABT, and note it is rush-only with very few trips."
South Orange,11,True,South Orange; Mountain Station,M&E Morristown Line (Midtown Direct),True,,36,,True,NJT 107/107X,60,36,train,high,36 min one-seat — the FASTEST rail commute in the entire target set. Two stations in town.
Livingston,12,False,,Morris & Essex - Morristown Line,True,,40,"Short Hills (in Millburn Twp, ~5 mi)",True,Community Coach 77,65,40,train,medium,"No station; Short Hills / Millburn / South Orange are all ~5 mi. Short Hills Midtown Direct ~40 min, excludes drive/park. Community Coach 77 from Livingston Mall Park & Ride to PABT verified 62-73 min, typical 65 (arrives PABT gates 412/413). This is one of the few Essex towns that kept a PABT bus after DeCamp died."
Bridgewater,13,True,Bridgewater,Raritan Valley Line,False,Newark Penn,75,,True,NJT 114 (from Bridgewater Commons),120,75,train,high,"75 min by rail with a forced Newark transfer. The 114 bus is a 2-HOUR local — technically direct, practically unusable. This is a long commute either way."
Martinsville,13,True,Bridgewater,Raritan Valley Line,False,Newark Penn,75,,True,NJT 114 (from Bridgewater Commons),120,75,train,high,A section of BRIDGEWATER TWP; inherits the township's Bridgewater station row. NOT an independent measurement — Martinsville sits in the township's north-east and the real drive to Bridgewater or Somerville station will differ. Treat as indicative.
West Orange,13,False,,M&E Morristown Line,True,,30,"Orange (in City of Orange Twp, ~1.9 mi)",True,"NJT 101 (rush only, ~5 AM trips) + Community Coach 77",60,30,train,high,"No station in town (Highland Ave station is in Orange, not West Orange), but the township runs a weekday jitney to Brick Church/Orange/South Orange, and Orange is a 30-min Midtown Direct ride. Add jitney time. Its DeCamp buses are GONE — NJT 101 replaced them, rush-only."
Basking Ridge,14,True,Basking Ridge; Lyons,M&E Gladstone Branch,False,Summit,78,,True,Lakeland 78 (Lyons P&R),72,72,bus,high,"In Bernards Twp. Gladstone Branch — one of the two AM one-seat trains (6406) actually ORIGINATES here at 6:13, but the typical train requires a Summit transfer."
Glen Ridge,14,True,Glen Ridge,Montclair-Boonton (Midtown Direct),True,,35,,False,,,35,train,high,"35-min one-seat to Penn — the 2nd-fastest rail commute in the set, and it's 14 mi from Westfield. LOST its bus: DeCamp 33 served it until 2023 and NJT's replacement routes do NOT stop in town. Rail-only now."
Verona,14,False,,Montclair-Boonton Line,True,,50,"Mountain Avenue (in Montclair, ~1.7 mi)",False,,,50,train,medium,"No station. Mountain Ave, Upper Montclair (~1.7 mi) Midtown Direct verified 47-55 min. NO PABT bus: DeCamp 33/66 ran Bloomfield Ave through Verona and is DEFUNCT. The 2023 'emergency' NJT 195D Bloomfield Ave variant is ABSENT from the current 191/195 timetable (issued 7/1/26) - nearest PABT-bound stops are the 195's Cedar Grove stops, ~1 mi outside Verona."
Essex Fells,15,False,,Montclair-Boonton Line,True,,50,"Mountain Avenue (in Montclair, ~4 mi)",False,,,50,train,medium,"No station and none close - nearest are the Montclair stops ~4 mi out. Mountain Ave Midtown Direct 47-55 min, excludes a real 4-mi drive. NO PABT bus: DeCamp 33 was the carrier and is defunct; nothing replaced it. Only NJT bus touching Essex Fells is local Route 71, Newark-bound. Transit-poor - this is a car town."
Florham Park,15,False,,Morris & Essex - Morristown Line,True,,54,"Madison (in Madison, ~2.5 mi)",False,,,54,train,medium,"No station. Madison (~2.5 mi) one-seat Midtown Direct verified 51-57 min; Convent Station ~55-61. Excludes drive/park. No PABT bus: NJT 873/878 serve Florham Park but are LOCAL Morris County routes, not PABT."
Montclair,15,True,Bay Street; Walnut St; Watchung Ave; Upper Montclair; Mountain Ave; Montclair Heights,Montclair-Boonton (Midtown Direct),True,,45,,True,NJT 101 (rush only),52,45,train,high,SIX stations. Bay St is ~43 min one-seat; Montclair Heights ~58. Note the electrified Montclair segment gets Midtown Direct — the diesel Boonton branch beyond it does NOT.
Roseland,15,False,,Morris & Essex - Morristown Line,True,,35,"South Orange (in South Orange, ~6 mi)",False,,,35,train,medium,"No station; South Orange ~6 mi, one-seat Midtown Direct verified 31-41 min, excludes drive/park (a real 6-mi drive to the station). NO PABT bus - DeCamp was the carrier and is defunct; nothing replaced it. NJT 71/73 serve Roseland but terminate in NEWARK."
Caldwell,16,False,,Montclair-Boonton,True,,45,Bay Street / Walnut Street (in Montclair),True,NJT 105 (rush only),58,45,train,high,"No station. DeCamp used to be the commute here and it's gone; NJT 105 replaced it, rush-only. Rail requires driving to Montclair first (45 min excludes that drive)."
Cedar Grove,16,False,,Montclair-Boonton,True,,58,"Montclair State University (in Little Falls, ~1 mi)",True,"NJT 105 (rush only, ~6 AM trips)",45,45,bus,high,Its station is GONE — Great Notch closed in 2010 (9 riders/day). BUS IS THE BETTER OPTION here: NJT 105 at 45 min beats the 58-min rail workaround via MSU.
North Caldwell,16,False,,Montclair-Boonton Line - Boonton Branch,False,Newark Broad Street,58,"Little Falls (in Little Falls, ~2.5 mi)",False,,,58,train,medium,No station. Little Falls (~2.5 mi) does NOT run Midtown Direct - NY times are flagged 'change at Newark Broad Street'; verified 58-67 min incl. transfer. Montclair Heights (~2.7 mi) is the better bet: direct Midtown Direct ~52 min. NO PABT bus - DeCamp served North Caldwell and is defunct; no Caldwell-area stops on the current 191/195 timetable.
West Caldwell,16,False,,Montclair-Boonton,True,,45,Bay Street / Walnut Street (in Montclair),True,NJT 105 (rush only),58,45,train,high,"Third town in 07006. No station of its own; same Bay Street / Walnut Street (Montclair) situation as Caldwell, whose row this is inherited from — same zip, one centroid, one distance. NOT an independent measurement, and the drive/park to Montclair is excluded."
Bedminster,17,False,,M&E Gladstone Branch,True,,85,Far Hills (in Far Hills Boro),False,,,85,train,medium,"NO station — 'Far Hills-Bedminster' is a marketing name; the station is in Far Hills Borough. It does get a Midtown Direct one-seat, but it's an 85-min ride. No PABT bus."
Chatham,17,True,Chatham,M&E Morristown Line (Midtown Direct),True,,50,,False,,,50,train,high,Clean 50-min Midtown Direct one-seat. No PABT bus in town (nearest is the Summit P&R for Lakeland 78).
Madison,17,True,Madison,M&E Morristown Line (Midtown Direct),True,,55,,False,,,55,train,high,55-min Midtown Direct one-seat. Rail only.
Nutley,17,False,,Montclair-Boonton Line,True,,35,"Bloomfield (in Bloomfield, ~2 mi)",True,NJT 199,40,35,train,high,"No station (the old Erie Greenwood Lake stop is long closed). Bloomfield (~2 mi) Midtown Direct verified 29-35 min. Bus 199 from Kingsland St at Passaic Ave to PABT a consistent 40 min - BUT that stop is on the far-EAST edge of Nutley, not walkable from the Franklin Ave downtown. DeCamp, which served Nutley, is defunct; the 199 is what remains."
Branchburg,18,True,North Branch,Raritan Valley Line,False,Newark Penn,85,,True,"Trans-Bridge (Municipal P&R, US-202 N) — only 2 AM trips",75,75,bus,high,"Technically has a station (North Branch) but it is minimal: single low platform, rush-hour only, ~2 usable AM trains, and RVL forces a Newark transfer anyway. 85 min. Somerville/Raritan are the practical park-and-rides."
Morris Township,19,True,Morristown,M&E Morristown Line (Midtown Direct),True,,62,,False,,,62,train,high,"MORRIS TWP wraps around MORRISTOWN and shares its 07960 zip and its Morristown station — zips.json verified them as two distinct MUN_NAMEs on the live Cadastral layer. Inherited from Morristown because it is the SAME STATION, not an independent measurement."
Morristown,19,True,Morristown,M&E Morristown Line (Midtown Direct),True,,62,,False,,,62,train,high,62-min Midtown Direct one-seat. LOST its bus — Community Coach 77 was cut back to Livingston Mall and no longer reaches Morristown. Rail only now.
Cedar Knolls,20,False,,Morris & Essex - Morristown Line,True,,67,"Morris Plains (in Morris Plains, ~1.5 mi)",False,,,67,train,medium,Hanover Twp section; no station. Morris Plains (~1.5 mi) one-seat Midtown Direct verified 64-70 min; from Morristown station (~2 mi) the same trains are 59-65. Excludes drive/park. No PABT bus - Lakeland's Route 46 stop list has no Cedar Knolls/Hanover/Whippany/Route 10 stop; NJT 73/871/873/874 are local Newark/Morristown routes.
Morris Plains,21,True,Morris Plains,M&E Morristown Line (Midtown Direct),True,,67,,False,,,67,train,high,67-min Midtown Direct one-seat. No PABT bus in town.
Denville,22,True,Denville,Morristown Line (also Montclair-Boonton),True,,80,,True,Lakeland 46,65,65,bus,medium,"One-seat Midtown Direct verified 71-84 min - a long ride. Lakeland 46 from Denville Savage Road Park-Ride (free parking) to PABT ~65 min at peak. Confidence medium: the rail figure is off the current 3/15/26 timetable, but the Lakeland bus minutes come from an ARCHIVED official PDF, not a 2026 timetable (the live page renders via JS) - re-verify the bus before trusting it."
Glen Rock,22,True,Glen Rock-Boro Hall; Glen Rock-Main Line,Bergen County Line / Main Line,False,Secaucus Junction,50,,True,NJT 164 (Harding Plaza; X trips express),45,45,bus,high,"TWO stations, both Hoboken-bound — no Midtown Direct. But the timetabled Secaucus transfer is tight and the effective 50 min is competitive. The 164 bus at 45 min is actually the faster option."
Mendham,22,False,,M&E Morristown Line,True,,62,"Morristown (in Morristown, ~15 min drive)",False,,,62,train,medium,No station and no bus. 62 min is the Morristown ride and EXCLUDES the ~15-min drive to get there. Realistically ~80 min door-to-door.
Boonton,23,True,Boonton,Montclair-Boonton (Boonton branch),False,Newark Broad Street,80,,True,Lakeland 46 (Main St),55,55,bus,high,"NO one-seat ride despite having a station — all 5 AM inbound trains terminate at Hoboken, flagged 'change at Newark Broad St'. The diesel Boonton branch never gets Midtown Direct. BUS IS MUCH BETTER: Lakeland 46 at 55 min vs 80 by rail."
Montville,23,True,Towaco,Montclair-Boonton,False,Newark Broad Street,75,,True,"Lakeland 46 (Pine Brook, US-46)",45,45,bus,high,Towaco station is in Montville Twp. No one-seat ride (transfer at Newark Broad St). BUS IS FAR BETTER: Lakeland 46 from Pine Brook is 45 min vs 75 by rail — the single biggest bus-beats-train gap in the set.
Franklin Lakes,24,False,,Bergen County Line,False,Secaucus Junction,62,Allendale (in Allendale Boro); also Ridgewood,True,Coach USA / Rockland-Short Line (Parsons Pond Rd P&R),60,60,bus,medium,No station — the town's own transportation page lists only out-of-town rail. Bergen County Line means a Secaucus transfer. 62 min excludes the drive to Allendale.
Randolph,25,False,,M&E Morristown Line,True,,78,Dover (in Town of Dover),False,,,78,train,medium,"No station, no in-town bus. Dover gets a Midtown Direct one-seat but it's a 78-min ride and excludes the drive. Nearest bus is Lakeland 46/80 at Dover Terminal."
Towaco,25,True,Towaco,Montclair-Boonton,False,Newark Broad Street,75,,False,,,75,train,medium,"Towaco is a SECTION of Montville Twp and is listed separately in zips.json — same station, but no PABT bus stop in Towaco proper (the Lakeland 46 stop is at Pine Brook, elsewhere in Montville)."
Chester,26,False,,Morris & Essex - Gladstone Branch,True,,89,"Peapack (in Peapack-Gladstone, ~7 mi)",False,,,89,train,low,"No station in Chester Boro or Chester Twp. Peapack (~7 mi, distance approximate) has LIMITED one-seat Midtown Direct: 5:59->7:28 (89 min), 6:37->8:12 (95). Most other Gladstone peak trains go to Hoboken or change at Summit. Drivers may prefer Morristown (~10 mi), which has frequent Midtown Direct. No PABT bus on any Lakeland or Community Coach route. LOW confidence: the nearest-station distance is unverified. Effectively a car town."
Long Valley,29,False,,Morris & Essex - Hackettstown Branch,False,Dover,119,"Mount Olive (in Mount Olive Twp, ~7 mi)",False,,,119,train,medium,"No station. Mount Olive (~7 mi, approximate) peak trains are DIESEL and run to HOBOKEN, not NY Penn - a change at Dover is required. Worked example incl. a 16-min Dover wait: Mount Olive 6:56 -> Dover 7:17, then Midtown Direct 7:33 -> NY Penn 8:55 = 119 min total. From Hackettstown ~130 min. No PABT bus anywhere in western Morris. The worst commute on this list by a wide margin."
Long Hill,,True,Stirling; Gillette; Millington,M&E Gladstone Branch,False,Summit,68,,True,Lakeland 78,60,60,bus,high,"THREE stations in the township (Stirling 68, Gillette 65, Millington 70). Gladstone Branch: typically transfer at Summit."
