address,zip,town,list_date,sold_date,days_on_market,list_price,sold_price,sold_vs_ask_abs,sold_vs_ask_pct,price_changes,sqft,beds,baths,lot_sqft,year_built,garage,solar,ac_type,property_type,county,municipality,prop_class,nu_code,conflicts,_sources,_fetched
529 BOONTON AVE,07005,Boonton,,2023-08-02,,,350000,,,,,,,13861,1890,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
426 OLD BOONTON RD,07005,Boonton,,2023-08-08,,,710000,,,,,,,18400,1900,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
129 WILSON ST,07005,Boonton,,2023-08-10,,,801000,,,,,,,7148,1915,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
214 LIBERTY ST,07005,Boonton,,2023-08-10,,,575000,,,,,,,5001,1880,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
15 COUNTRY MEADOW LN,07005,Boonton,,2023-08-16,,,828000,,,,,,,17903,1998,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
41 MILLER DR,07005,Boonton,,2023-08-17,,,1025000,,,,,,,229561,1968,,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
423 BOONTON AVE,07005,Boonton,,2023-08-19,,,559000,,,,,,,5401,1966,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
37 LORRAINE TER,07005,Boonton,,2023-08-21,,,655000,,,,,,,4900,1966,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
29 HILLCREST RD,07005,Boonton,,2023-08-24,,,670000,,,,,,,285318,1950,,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
519 OLD BOONTON RD,07005,Boonton,,2023-08-24,,,460000,,,,,,,5502,1966,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
327 MECHANIC ST,07005,Boonton,,2023-09-07,,,450000,,,,,,,12502,1920,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
402 WILLIAM ST,07005,Boonton,,2023-09-08,,,680000,,,,,,,5750,1925,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
5 ROSEWOOD LN,07005,Boonton,,2023-09-12,,,265000,,,,,,,19166,1947,,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
6 BIRCHWOOD LN,07005,Boonton,,2023-09-20,,,565000,,,,,,,30056,1950,,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
6 COUNTRY MEADOW LN,07005,Boonton,,2023-09-20,,,825000,,,,,,,13068,1998,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
141 WILSON ST,07005,Boonton,,2023-09-21,,,390000,,,,,,,7449,1950,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
9 WILTSHIRE DR,07005,Boonton,,2023-09-22,,,1085000,,,,,,,96703,1995,,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
436 BOYD ST,07005,Boonton,,2023-09-26,,,675000,,,,,,,18722,1929,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
309 DAWSON AVE,07005,Boonton,,2023-09-27,,,549000,,,,,,,6652,1966,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
206 MONROE ST,07005,Boonton,,2023-09-28,,,420000,,,,,,,6199,1900,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
516 FANNY RD,07005,Boonton,,2023-09-29,,,670000,,,,,,,12253,1979,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
178 CHESTNUT ST,07005,Boonton,,2023-10-02,,,415000,,,,,,,8499,1900,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
5 GROVE ST,07005,Boonton,,2023-10-05,,,595000,,,,,,,14810,1952,,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
69 HARRISON ST,07005,Boonton,,2023-10-11,,,420000,,,,,,,6251,1890,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
602 WILLIAM ST,07005,Boonton,,2023-10-12,,,512000,,,,,,,6251,1890,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
414 DIXON AVE,07005,Boonton,,2023-10-13,,,694000,,,,,,,26550,1910,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
126 ROESSLER ST,07005,Boonton,,2023-10-17,,,445000,,,,,,,6800,1954,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
130 RIDGEVIEW PL,07005,Boonton,,2023-10-25,,,995000,,,,,,,23749,1939,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
673 BOONTON AVE,07005,Boonton,,2023-10-25,,,475000,,,,,,,,1890,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
212 WILLIAM ST,07005,Boonton,,2023-10-26,,,369700,,,,,,,3751,1900,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
221 FAIRVIEW AVE,07005,Boonton,,2023-10-27,,,692500,,,,,,,10729,1900,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
427 ROCKAWAY VALLEY RD,07005,Boonton,,2023-11-03,,,700000,,,,,,,85813,1903,,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
124 HORIZON DR,07005,Boonton,,2023-11-05,,,575000,,,,,,,19001,1953,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
73 ELCOCK AVE,07005,Boonton,,2023-11-17,,,675000,,,,,,,10019,1974,1,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
222 CORNELIA ST,07005,Boonton,,2023-11-20,,,680000,,,,,,,7501,1890,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
315 OAK ST,07005,Boonton,,2023-11-20,,,410000,,,,,,,5354,1900,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
708 WILLIAM ST,07005,Boonton,,2023-11-20,,,559000,,,,1960,,,107985,2005,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
87 OLD DENVILLE RD,07005,Boonton,,2023-11-20,,,1115000,,,,,,,107593,1920,1,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
120 RIDGEVIEW PL,07005,Boonton,,2023-11-30,,,775000,,,,,,,16662,1985,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
7 MAPLE DR,07005,Boonton,,2023-11-30,,,550000,,,,,,,30928,1955,,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
514 RESERVOIR DR,07005,Boonton,,2023-12-01,,,375000,,,,,,,6482,1945,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
415 CORNELIA ST,07005,Boonton,,2023-12-05,,,635000,,,,,,,12001,1961,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
130 WOOTTON ST,07005,Boonton,,2023-12-07,,,519000,,,,,,,6499,1985,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
4 ASHWOOD TRL,07005,Boonton,,2023-12-07,,,653000,,,,,,,37854,1996,,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
945 WOOTTON ST,07005,Boonton,,2023-12-07,,,791000,,,,,,,39749,2007,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
304 REXLAND DR,07005,Boonton,,2023-12-08,,,560000,,,,,,,22499,1969,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
20 SOUTHVIEW DR,07005,Boonton,,2023-12-14,,,756000,,,,,,,71003,1984,1,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
175 OVERLOOK AVE,07005,Boonton,,2023-12-15,,,575000,,,,,,,16522,1925,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
3 CANTERBURY RD,07005,Boonton,,2024-01-10,,,960000,,,,,,,81457,1994,,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
6 BRISTOL RDG,07005,Boonton,,2024-01-10,,,475000,,,,,,,172018,2024,1,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
528 WILLIAM ST,07005,Boonton,,2024-01-16,,,495000,,,,,,,3302,1910,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
318 WILLIAM ST,07005,Boonton,,2024-01-17,,,592000,,,,,,,6251,1880,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
3 ROSEWOOD LN,07005,Boonton,,2024-01-18,,,750000,,,,,,,26136,2024,,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
1220 BIRCH ST,07005,Boonton,,2024-01-22,,,520000,,,,,,,6229,1910,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
134 FAIRVIEW AVE,07005,Boonton,,2024-01-22,,,395000,,,,,,,9300,1950,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
106 MAPLE AVE,07005,Boonton,,2024-01-24,,,645000,,,,,,,15002,1920,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
620 SPRUCE ST,07005,Boonton,,2024-01-24,,,599500,,,,,,,4600,1906,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
227 POWERVILLE RD,07005,Boonton,,2024-01-29,,,550000,,,,,,,19602,1850,,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
130 FAIRVIEW AVE,07005,Boonton,,2024-02-02,,,701000,,,,,,,12977,1933,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
630 BOONTON AVE,07005,Boonton,,2024-02-05,,,579000,,,,,,,6251,1999,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
7 COOPER DR,07005,Boonton,,2024-02-05,,,630000,,,,,,,5354,1966,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
22 DECAMP DR,07005,Boonton,,2024-02-08,,,750000,,,,,,,70132,1960,1,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
209 ESSEX AVE,07005,Boonton,,2024-02-09,,,675000,,,,,,,11935,1901,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
215 LIBERTY ST,07005,Boonton,,2024-02-15,,,850000,,,,,,,6229,2023,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
217 LIBERTY ST,07005,Boonton,,2024-02-15,,,789000,,,,,,,5097,2023,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
216 FAIRVIEW AVE,07005,Boonton,,2024-02-16,,,735000,,,,,,,14580,1929,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
2 CRESTFIELD RD,07005,Boonton,,2024-02-19,,,570000,,,,,,,20038,1953,,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
528 LIBERTY ST,07005,Boonton,,2024-02-20,,,545000,,,,,,,6199,1900,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
25 COOPER DR,07005,Boonton,,2024-02-23,,,670000,,,,,,,5301,1966,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
121 OLD WOOD LN,07005,Boonton,,2024-03-07,,,785000,,,,,,,50965,1972,,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
3 GLEN GATE,07005,Boonton,,2024-03-07,,,845000,,,,,,,39204,1967,1,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
322 ROCKAWAY ST,07005,Boonton,,2024-03-07,,,730000,,,,,,,19402,1960,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
232 CROWN RD,07005,Boonton,,2024-03-11,,,553800,,,,,,,12602,1956,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
24 DECAMP DR,07005,Boonton,,2024-03-13,,,579000,,,,,,,59242,1965,,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
14 CLIFFSIDE WAY,07005,Boonton,,2024-03-18,,,1150000,,,,,,,154202,1989,,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
140 WOOTTON ST,07005,Boonton,,2024-03-28,,,380000,,,,,,,6499,1979,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
4 LONE OAK LN,07005,Boonton,,2024-04-03,,,1320000,,,,,,,83940,2002,,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
219 PARK AVE,07005,Boonton,,2024-04-08,,,485000,,,,,,,15625,1950,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
267 POWERVILLE RD,07005,Boonton,,2024-04-08,,,950000,,,,,,,81022,1936,,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
114 VREELAND AVE,07005,Boonton,,2024-04-09,,,268750,,,,,,,11025,1946,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
18 SOUTH ROCKAWAY DR,07005,Boonton,,2024-04-11,,,825000,,,,,,,30056,1960,,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
316 POWERVILLE RD,07005,Boonton,,2024-04-15,,,620000,,,,,,,41818,1955,,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
446 HILL ST,07005,Boonton,,2024-04-16,,,500000,,,,,,,153000,1985,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
6 ESTLER LN,07005,Boonton,,2024-04-18,,,750000,,,,,,,43124,1952,,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
42 FARBER HILL RD,07005,Boonton,,2024-04-20,,,1100000,,,,,,,95396,1985,,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
5 ASHWOOD TRL,07005,Boonton,,2024-04-23,,,670000,,,,,,,37854,1996,,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
43 BRAE LOCH DR,07005,Boonton,,2024-04-26,,,480000,,,,,,,37854,1996,,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
417 HILL ST,07005,Boonton,,2024-04-29,,,485300,,,,,,,6251,1950,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
211 HARRISON ST,07005,Boonton,,2024-05-07,,,449000,,,,,,,6251,1900,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
439 WILLIAM ST,07005,Boonton,,2024-05-13,,,616000,,,,,,,11125,1900,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
506 GREEN ST,07005,Boonton,,2024-05-15,,,315000,,,,,,,8751,1950,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
162 ROESSLER ST,07005,Boonton,,2024-05-16,,,511000,,,,,,,6251,1926,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
320 HILL ST,07005,Boonton,,2024-05-17,,,482000,,,,,,,6251,1900,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
265 ROSS DR,07005,Boonton,,2024-05-20,,,725000,,,,,,,16675,1964,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
20 ROCK LN,07005,Boonton,,2024-05-23,,,1175000,,,,,,,23087,1945,1,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
425 WILLIAM ST,07005,Boonton,,2024-05-23,,,575000,,,,,,,5545,1914,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
166 OVERLOOK AVE,07005,Boonton,,2024-05-28,,,1289000,,,,,,,13229,2024,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
524 ESSEX AVE,07005,Boonton,,2024-05-29,,,660000,,,,,,,26101,1950,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
90 ROCKAWAY DR,07005,Boonton,,2024-05-30,,,570000,,,,,,,10498,1946,,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
129 HIGHLAND AVE,07005,Boonton,,2024-06-02,,,645000,,,,,,,7501,1880,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
12 WILTSHIRE DR,07005,Boonton,,2024-06-03,,,355000,,,,,,,70132,1996,1,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
134 BOONTON AVE,07005,Boonton,,2024-06-03,,,575000,,,,,,,2039,1880,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
18 HAPGOOD CT,07005,Boonton,,2024-06-04,,,950000,,,,,,,35806,2010,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
454 HILL ST,07005,Boonton,,2024-06-04,,,540000,,,,,,,153000,1985,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
226 OAK ST,07005,Boonton,,2024-06-10,,,620000,,,,,,,8398,1870,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
125 OLD WOOD LN,07005,Boonton,,2024-06-18,,,892000,,,,,,,58370,1962,,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
179 N MAIN ST,07005,Boonton,,2024-06-18,,,550000,,,,,,,153000,1985,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
24 TONER RD,07005,Boonton,,2024-06-18,,,530000,,,,,,,16126,1957,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
539 LATHROP AVE,07005,Boonton,,2024-06-18,,,630000,,,,,,,7819,1952,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
238 HILL ST,07005,Boonton,,2024-06-19,,,740000,,,,,,,5001,1890,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
435 WILLIAM ST,07005,Boonton,,2024-06-19,,,545000,,,,,,,7501,1986,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
711 LAUREL ST,07005,Boonton,,2024-06-19,,,685000,,,,,,,6199,1988,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
115 OXFORD AVE,07005,Boonton,,2024-06-25,,,670000,,,,,,,9226,1950,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
19 MARGARETTA RD,07005,Boonton,,2024-06-25,,,861000,,,,,,,12602,1984,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
22 MILLER DR,07005,Boonton,,2024-06-28,,,542500,,,,,,,87556,1965,,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
415 HIGHLAND AVE,07005,Boonton,,2024-07-01,,,630000,,,,,,,6251,1920,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
119 ROCKAWAY DR,07005,Boonton,,2024-07-05,,,475000,,,,,,,10890,1928,,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
17 TOURNE RD,07005,Boonton,,2024-07-10,,,515000,,,,,,,7405,1947,,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
9 OVERLOOK RD,07005,Boonton,,2024-07-10,,,360000,,,,,,,15682,1950,,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
11 ASHWOOD TRL,07005,Boonton,,2024-07-18,,,601000,,,,,,,37854,1996,,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
439 GREEN ST,07005,Boonton,,2024-07-20,,,675000,,,,,,,8599,2004,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
11 BROOKSTONE DR,07005,Boonton,,2024-07-26,,,1450000,,,,,,,71221,2006,,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
9 DECKER LN,07005,Boonton,,2024-07-31,,,1350000,,,,,,,88427,1962,1,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
209 MARC BLVD,07005,Boonton,,2024-08-02,,,750000,,,,,,,12502,1971,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
24 BROOKWOOD LN,07005,Boonton,,2024-08-05,,,900000,,,,,,,52141,1900,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
131 BOONTON AVE,07005,Boonton,,2024-08-07,,,324500,,,,,,,6033,1905,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
705 GREEN ST,07005,Boonton,,2024-08-16,,,610000,,,,,,,15002,1962,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
236 CHURCH ST,07005,Boonton,,2024-08-19,,,440000,,,,,,,2788,1840,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
5 SYLVAN LN,07005,Boonton,,2024-08-20,,,585000,,,,,,,5663,1942,,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
115 RIDGEVIEW PL,07005,Boonton,,2024-08-22,,,605000,,,,,,,13582,1942,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
307 HIGHLAND AVE,07005,Boonton,,2024-08-22,,,589000,,,,,,,6251,1910,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
120 LAKE AVE,07005,Boonton,,2024-08-23,,,610000,,,,,,,11352,1880,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
222 W MAIN ST,07005,Boonton,,2024-08-26,,,548000,,,,,,,8281,1865,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
646 CORNELIA ST,07005,Boonton,,2024-08-28,,,200000,,,,,,,5998,1915,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
15 BROOKSIDE LN,07005,Boonton,,2024-08-30,,,720000,,,,,,,14636,1976,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
199 N MAIN ST,07005,Boonton,,2024-09-03,,,575000,,,,,,,153000,1985,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
611 BOONTON AVE,07005,Boonton,,2024-09-03,,,550000,,,,,,,,2004,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
588 LATHROP AVE,07005,Boonton,,2024-09-05,,,660000,,,,,,,7902,1930,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
11 JEFFERSON AVE,07005,Boonton,,2024-09-12,,,800000,,,,,,,37462,1964,,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
3 SUNRISE RD,07005,Boonton,,2024-09-16,,,483500,,,,,,,16117,1952,,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
432 WASHINGTON ST,07005,Boonton,,2024-09-16,,,735000,,,,,,,6251,1904,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
723 WOOTTON ST,07005,Boonton,,2024-09-20,,,500000,,,,,,,6199,1860,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
10 SYLVAN LN,07005,Boonton,,2024-09-23,,,589000,,,,,,,13504,2012,,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
11 CROWN RD,07005,Boonton,,2024-09-23,,,750000,,,,,,,19502,1956,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
166 ROESSLER ST,07005,Boonton,,2024-09-23,,,546000,,,,,,,6251,1935,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
710 CEDAR ST,07005,Boonton,,2024-09-24,,,467500,,,,,,,4230,1900,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
113 BIRCH ST,07005,Boonton,,2024-09-27,,,485000,,,,,,,5001,1921,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
167 POWERVILLE RD,07005,Boonton,,2024-09-27,,,700000,,,,,,,47045,1954,,,,Residential,MORRIS,BOONTON TWP,2,,,nj_records,2026-07-11
201 WILLIAM ST,07005,Boonton,,2024-09-27,,,635000,,,,,,,3149,1890,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
225 MECHANIC ST,07005,Boonton,,2024-09-27,,,557000,,,,,,,5641,1900,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
201 MARC BLVD,07005,Boonton,,2024-10-02,,,645000,,,,,,,12502,1973,,,,Residential,MORRIS,BOONTON TOWN,2,,,nj_records,2026-07-11
