property_key,address,zip,town,spell,mls_id,list_date,first_seen,last_seen,first_list_price,last_list_price,observations,status,gone_on,price_changed,beds,baths,sqft,lot_sqft,year_built,property_type,lat,lon,url,photo,mls_status,days_on_mls,text
120|woodsend|07920,120 Woods End Dr,07920,Basking Ridge,1,4029956,2026-05-26,2026-07-13,2026-07-17,1795000,1795000,4,active,,,4,2.5,,34848,1987,Single Family,40.68922,-74.558987,https://www.realtor.com/realestateandhomes-detail/120-Woods-End-Dr_Basking-Ridge_NJ_07920_M66746-60628,https://ap.rdcpix.com/b373488516de577396984ed0e6d7e0afl-m1601955642od-w480_h360_x2.webp?w=1080&q=75,PENDING,51,"This exciting home has it all! The sought-after Prince Edward Pointe neighborhood is the setting for this stunning colonial residence, which has been updated to perfection. Sophistication, style, and exceptional quality define every space. A graceful bluestone walkway and columned entry invite you inside, where sun-filled rooms are enhanced by extensive custom woodwork, gleaming hardwood and stone floors, designer lighting, and custom window treatments. Entertain with ease in the chef's kitchen featuring plentiful custom cabinetry, granite countertops, and top-of-the-line appliances. Multiple gathering spaces, including the striking 2-story family room with fireplace and light-filled sunroom, flow naturally to the expansive paver patio complete with a grilling station and firepit, creating exceptional indoor-outdoor flow, perfect for large gatherings or quiet evenings. The impressive pri"
121|woodward|07920,121 Woodward Ln,07920,Basking Ridge,1,4029389,2026-05-22,2026-07-13,2026-07-17,425000,425000,4,active,,,2,2.0,1100,,1988,Condo,40.657067,-74.566124,https://www.realtor.com/realestateandhomes-detail/121-Woodward-Ln_Basking-Ridge_NJ_07920_M69721-04266,https://ap.rdcpix.com/30d0a926a43a680125eb71e00e69bef3l-m2485515879od-w480_h360_x2.webp?w=1080&q=75,PENDING,55,"Bright and beautiful top-floor Bernards I condominium located in the desirable Society Hill section of Basking Ridge. Renovated in 2020 and continuously updated since, this spacious 2-bedroom, 2-bath home features vaulted ceilings, skylights, recessed lighting throughout, and an abundance of natural light creating a warm and airy feel. Hardwood floors run throughout the unit, complemented by an inviting open layout, scenic views, and excellent storage space. The eat-in kitchen offers newer appliances including a stove, refrigerator and dishwasher installed in 2026. Major upgrades include, water heater installed in November 2024, brand new windows, new doors. The primary suite features a walk-in closet and private bath with shower stall. Nestled within a beautifully manicured 43-acre community just steps from Pleasant Valley Park, residents enjoy amenities including an on-site property ma"
124|constitution|07920,124 Constitution Way,07920,Basking Ridge,1,4040152,2026-07-12,2026-07-13,2026-07-17,839000,839000,4,active,,,3,2.5,,,1997,Condo,40.654154,-74.613715,https://www.realtor.com/realestateandhomes-detail/124-Constitution-Way_Basking-Ridge_NJ_07920_M68117-48916,https://ap.rdcpix.com/8e18fce6c9709d369a7ea86db5e7f630l-m4165767941od-w480_h360_x2.webp?w=1080&q=75,FOR_SALE,4,"Professional photos will be available on July 21. Absolutely beautiful 3-bedroom, 2.5-bath end-unit townhouse featuring a large finished walk-out basement. Freshly painted throughout, this home offers an open floor plan highlighted by a dramatic two-story family room filled with natural light. The spacious family room flows seamlessly into the kitchen, which features granite countertops, stainless steel appliances, and sliding glass doors leading to a large Trex deck?perfect for relaxing or entertaining. A bright and inviting living room and formal dining room complete the first floor. Upstairs, you'll find three generously sized bedrooms filled with natural sunlight. The primary suite boasts a vaulted ceiling, two walk-in closets, and a private en-suite bathroom. A conveniently located second-floor laundry room adds to the home's functionality. The property backs to a large open lawn, f"
125|smithfield|07920,125 Smithfield Ct,07920,Basking Ridge,1,4031113,2026-05-31,2026-07-13,2026-07-17,399000,399000,4,active,,,2,1.0,1000,,1986,Condo,40.661405,-74.539986,https://www.realtor.com/realestateandhomes-detail/125-Smithfield-Ct_Basking-Ridge_NJ_07920_M63037-79820,https://ap.rdcpix.com/a2c981ebc6732a763cca1501a17f9906l-m695235931od-w480_h360_x2.webp?w=1080&q=75,FOR_SALE,46,"Welcome to this beautifully maintained 2-bedroom, 1-bath 1,000 sqft condo nestled in the desirable Jefferson Village section of Spring Ridge. Being move-in ready, this inviting condo offers a comfortable and functional layout. The spacious living and dining areas feature plush carpeting that continues throughout the home, creating a warm and cohesive atmosphere. Updated bathroom showcases stylish and modern finishes, while the in-unit washer and dryer provide everyday convenience. Both bedrooms offer generous space, ample closet storage, and abundant natural light. A private 1-car garage adds valuable parking and large storage room in basement. Nestled within a beautifully maintained 326-acre community surrounded by more than 100 acres of preserved natural land, this condo offers a serene, wooded setting while remaining close to everyday conveniences. Enjoy easy access to shopping, dinin"
1265|mountairy|07920,1265 Mount Airy Rd,07920,Basking Ridge,1,4038887,2026-07-07,2026-07-13,2026-07-17,1299000,1299000,4,active,,,4,2.5,,44431,1970,Single Family,40.664125,-74.574554,https://www.realtor.com/realestateandhomes-detail/1265-Mount-Airy-Rd_Basking-Ridge_NJ_07920_M66690-40991,https://ap.rdcpix.com/eed1d2bb1703b8a1a85be2acf532723fl-m4288285399od-w480_h360_x2.webp?w=1080&q=75,FOR_SALE,9,"Welcome to this one-of-a-kind colonial showcasing exceptional craftsmanship and meticulous attention to detail at every turn. Offering 4 bedrooms, 2.1 baths, and 3418 sq ft of thoughtfully designed living space, this home is distinguished by custom woodwork and millwork throughout. The chef's kitchen is a true showpiece, featuring hand-crafted mahogany cabinetry that blends timeless artistry with everyday function. Equally impressive is the richly paneled cherrywood library with soaring floor-to-ceiling built-in bookshelves and workstations. Connecting the family room and library, a magnificent two-sided stone fireplace creates a striking feature that brings warmth, character, and enduring elegance to both spaces. Extensive windows frame sweeping backyard views in the family room offering a welcoming setting for everyday living and entertaining. A banquet-sized dining room is ready to ho"
129|westoak|07920,129 W Oak St,07920,Basking Ridge,1,4039676,2026-07-09,2026-07-13,2026-07-17,939900,939900,4,active,,,3,2.0,,9583,1937,Single Family,40.706093,-74.55947,https://www.realtor.com/realestateandhomes-detail/129-W-Oak-St_Basking-Ridge_NJ_07920_M69817-55962,https://ap.rdcpix.com/5b26b1149c9005c1f33d516969091e1al-m2457850794od-w480_h360_x2.webp?w=1080&q=75,FOR_SALE,7,"Location, location, location! Completely renovated and move-in ready, this stunning home is located in one of the most sought-after neighborhoods in Bernards Township, approximately 1/2 mile to the train station and town center. Featuring public sewer, public water, and natural gas, this property offers the convenience today's buyers are looking for. Major updates include a new roof, new siding, new windows throughout, a brand-new kitchen, all-new bathrooms, and a new instant hot boiler to be installed prior to closing. Step inside to an open floor plan highlighted by gleaming hardwood floors, recessed lighting, designer finishes, and beautifully renovated high-end bathrooms. The stunning new kitchen is sure to impress, featuring quartz countertops, abundant cabinetry, and plenty of workspace truly a baker's delight. Large windows throughout the home fill the interior with natural light,"
12|oakhill|07920,12 Oak Hill Dr,07920,Basking Ridge,1,4034752,2026-06-16,2026-07-13,2026-07-17,2090000,2090000,4,active,,,5,5.5,,58806,1998,Single Family,40.678525,-74.575875,https://www.realtor.com/realestateandhomes-detail/12-Oak-Hill-Dr_Basking-Ridge_NJ_07920_M61851-31753,https://ap.rdcpix.com/84e8530de1727c9182d67aa4dc83d88cl-m2872282302od-w480_h360_x2.webp?w=1080&q=75,PENDING,30,"Welcome to this magnificent Georgian Colonial showcasing spectacular outdoor space and airy indoor living with oversized rooms and soaring ceilings. Designed for effortless entertaining and relaxed everyday life, this inviting home features five large bedrooms, five and a half baths and plentiful natural light. The expansive deck overlooks a secluded resort-style backyard with stunning heated gunite pool, waterfall and spa. The walkout finished basement offers direct pool access, fireplace, wetbar, full bath plus abundant workout and storage space. On the first floor, the open family room with panoramic views of the pool flows seamlessly into the spacious eat-in kitchen, living and dining rooms. Upstairs, the expansive primary suite includes an en-suite bath, two walk-in closets and a bright adjoining room perfect for an office or sitting area. Also upstairs are three other large bedroom"
12|smithfield12|07920,12 Smithfield Ct Unit 12,07920,Basking Ridge,1,4013755,2026-03-11,2026-07-13,2026-07-17,419000,419000,4,active,,,2,2.0,,,1987,Condo,40.661313,-74.537766,https://www.realtor.com/realestateandhomes-detail/12-Smithfield-Ct_Basking-Ridge_NJ_07920_M63468-44728,https://ap.rdcpix.com/2c11f3a6758da426776943bd38570456l-m3432272241od-w480_h360_x2.webp?w=1080&q=75,PENDING,127,"Discover the potential in this spacious 2-bed, 2-bath unit located in the highly desirable community of Spring Ridge. This inviting home features an open floor plan designed for comfortable living and effortless entertaining. Step inside to find a bright and airy living space - the primary bedroom is highlighted by soaring vaulted ceiling and skylight that fill the room with natural light. The open layout seamlessly connects the living room, dining area, and kitchen, creating a welcoming atmosphere for everyday living. Both bedrooms are generously sized, including a primary suite with a private bath, offering comfort and convenience. Additional features include central air conditioning for year-round comfort and ample storage throughout. Enjoy outdoor living on your private deck, the perfect place to relax with your morning coffee or unwind in the evening. This home also includes a one-c"
130|smithfield|07920,130 Smithfield Ct,07920,Basking Ridge,1,4032099,2026-06-04,2026-07-13,2026-07-17,499000,499000,4,active,,,2,2.0,,,1985,Condo,40.661357,-74.540116,https://www.realtor.com/realestateandhomes-detail/130-Smithfield-Ct_Basking-Ridge_NJ_07920_M63202-74111,https://ap.rdcpix.com/fda31a4d0f92a38884f931a22161d55bl-m2359367773od-w480_h360_x2.webp?w=1080&q=75,PENDING,42,"Welcome to this beautifully updated Essex II model in the sought-after Spring Ridge community of Basking Ridge. This light-filled second-floor condo offers 2 bedrooms, 2 full baths, soaring cathedral ceilings, skylights and an open-concept living and dining area. The stunning 2019 kitchen features 42"" white cabinetry, quartz countertops, ceramic tile backsplash, under-cabinet lighting, stainless steel appliances and a large island with storage and seating. Rich wood laminate flooring and elegant crown, chair rail and baseboard moldings extend throughout the home. The spacious living room with wood-burning fireplace (as-is condition) flows seamlessly into the dining area, while oversized windows and skylights provide exceptional natural light. The primary suite offers a skylight, walk-in closet, and renovated bath (2022) with ceramic stall shower, updated vanity, toilet and tiled floor. T"
132|goltra|07920,132 Goltra Dr,07920,Basking Ridge,1,4026649,2026-05-11,2026-07-13,2026-07-13,599000,599000,1,gone,2026-07-16,,,,,,,,,,,,,,
13|battalion|07920,13 Battalion Dr,07920,Basking Ridge,1,4032927,2026-06-08,2026-07-13,2026-07-17,849000,849000,4,active,,,3,3.5,,,2000,Condo,40.654533,-74.624058,https://www.realtor.com/realestateandhomes-detail/13-Battalion-Dr_Basking-Ridge_NJ_07920_M66342-43344,https://ap.rdcpix.com/787eed5b01268935879f17bb81dc2571l-m1310818500od-w480_h360_x2.webp?w=1080&q=75,FOR_SALE,38,"Premium Location with Spectacular Views & Ultimate Privacy Nestled on a beautifully wooded lot in one of the most desirable communities in the Hills.This exceptional 3 bedroom, 3.5 bath home offers breathtaking views, privacy, and an ideal open concept layout. A bright & welcoming home w beautiful interior, featuring neutral decor, hardwood flrs, abundant natural light throughout. The stunning eat in kitchen seamlessly opens to the great room and features sliding doors leading to a spacious private deck overlooking tranquil woodlands.Perfect for entertaining, the kitchen also flows effortlessly into the dining rm & impressive great rm, highlighted by a wall of windows and a grand fireplace.Second level offers 3 generously sized bdrms,including luxurious primary suite complete with 2 walk-in closets and a spa-inspired bath featuring double vanities,a separate shower,and large jetted soaki"
14|northstonehedge|07920,14 N Stone Hedge Dr,07920,Basking Ridge,1,4033820,2026-06-11,2026-07-13,2026-07-17,1425000,1425000,4,active,,,4,3.5,,43560,1994,Single Family,40.677797,-74.588926,https://www.realtor.com/realestateandhomes-detail/14-N-Stone-Hedge-Dr_Basking-Ridge_NJ_07920_M67932-03591,https://ap.rdcpix.com/953bad9b4eb8156ceff120c73b05568bl-m481132512od-w480_h360_x2.webp?w=1080&q=75,PENDING,35,"Welcome to 14 North Stone Hedge Dr, a beautifully designed one-owner home set on an impressive private property in the heart of Basking Ridge. Located on a quiet cul-de-sac street, this home offers a grand sense of space, natural light, and thoughtful design from the moment you enter the massive two-story foyer. The main level features a formal dining room with butler's pantry, spacious living room, family room, private office, and an incredible great room overlooking the expansive backyard. The large open eat-in kitchen flows perfectly for everyday living and entertaining, with access to a peaceful screened-in porch and wooded back patio. A huge three-car garage, whole-house generator, and exceptional curb appeal add to the home's convenience and presence. Upstairs offers four bedrooms, including a spacious primary suite with an en suite bath, jetted tub, and a beautiful walk-in closet "
150|jamestown|07920,150 Jamestown Rd,07920,Basking Ridge,1,4021863,2026-04-20,2026-07-13,2026-07-17,369000,383000,4,active,,yes,2,1.0,1000,,1988,Condo,40.65921,-74.538541,https://www.realtor.com/realestateandhomes-detail/150-Jamestown-Rd_Basking-Ridge_NJ_07920_M56667-71542,https://ap.rdcpix.com/27e4c596810a82d977416c41ea8581f0l-m548090432od-w480_h360_x2.webp?w=1080&q=75,FOR_SALE,2,"Welcome to this spacious 2-bedroom, 2-bath condo with large storage unit located in the beautifully maintained Adams Village section of Spring Ridge. Set among manicured grounds, this home offers both convenience and a desirable lifestyle. Inside, you'll find a bright and open layout with new luxury vinyl flooring featuring a large living room, a separate dining area, and a kitchen with stainless steel appliances. The unit also includes a private in-unit washer and dryer for added convenience. A beautifully updated bathroom and two generously sized bedrooms provide comfortable living, while ample storage throughout the unit ensures functionality. Private balcony to enjoy morning coffee, unit backs to greenery. This home also includes a large private storage unit, offering additional space and ease of living. Residents of Spring Ridge enjoy access to a clubhouse, a beautiful pool, walking"
150|woodward|07920,150 Woodward Ln,07920,Basking Ridge,1,4019458,2026-04-09,2026-07-13,2026-07-17,375000,375000,4,active,,,2,2.0,1181,,1986,Condo,40.657169,-74.567288,https://www.realtor.com/realestateandhomes-detail/150-Woodward-Ln_Basking-Ridge_NJ_07920_M59448-94272,https://ap.rdcpix.com/a41da25f7bee10ae2616b4b69b026a44l-m2663442698od-w480_h360_x2.webp?w=1080&q=75,PENDING,98,"Sunny ground floor unit set up on a hill offering privacy and light. HW floors in LR,DR, hall, new carpet in primary bedroom. Solid wood doors , stainless steel appliances , freshly painted interior. Close to schools, shopping, transportation."
153|irving153|07920,153 Irving Pl Unit 153,07920,Basking Ridge,1,4036710,2026-06-24,2026-07-13,2026-07-17,420000,420000,4,active,,,2,2.0,1180,,1986,Condo,40.655921,-74.569723,https://www.realtor.com/realestateandhomes-detail/153-Irving-Pl_Basking-Ridge_NJ_07920_M52078-32014,https://ap.rdcpix.com/4bafe0f2eea638ace0db311dad3e2a23l-m128614953od-w480_h360_x2.webp?w=1080&q=75,PENDING,22,"Welcome to this beautifully updated 2-bedroom, 2-bath condominium in the highly desirable Society Hill community of Basking Ridge. Filled with natural light and surrounded by peaceful wooded views, this move-in-ready home offers the perfect blend of comfort, style, and convenience.The updated kitchen features white cabinetry, quartz countertops, subway tile backsplash, stainless steel appliances, and a breakfast bar that opens to the dining area. The spacious living room is bathed in sunlight and offers seamless access to a private patio overlooking a tranquil natural setting.The primary suite features a custom California Closet & a beautifully renovated en-suite bath. A generously sized second bedroom & full hall bath provide flexibility for guests, a home office, or everyday living. Recent improvements include luxury vinyl plank flooring, replacement windows, a new sliding glass patio "
15|hampton|07920,15 Hampton Ct,07920,Basking Ridge,1,4033702,2026-06-10,2026-07-13,2026-07-17,774000,774000,4,active,,,3,2.5,1735,9148,1987,Condo,40.661326,-74.548498,https://www.realtor.com/realestateandhomes-detail/15-Hampton-Ct_Basking-Ridge_NJ_07920_M58291-76520,https://ap.rdcpix.com/b13499cca6138edfd0a9be132201d578l-m708342792od-w480_h360_x2.webp?w=1080&q=75,PENDING,36,"Nestled in one of Basking Ridge's most desirable communities, this spacious 3-bedroom half-duplex offers the perfect blend of comfort and convenience. The freshly painted first floor features wood floors, a bright and airy living room with soaring ceilings, skylights and a fireplace, a formal dining room, an eat-in kitchen, and an additional den/family room ideal for relaxing or entertaining. A convenient first-floor laundry room adds everyday practicality. Upstairs, three bedrooms offer comfort and privacy, including a primary suite with a large walk-in closet. The finished basement expands the living space with flexible recreation rooms, perfect for a home office, gym, media room or play area. Step outside and enjoy the expansive deck overlooking a private backyard, creating the perfect setting for outdoor entertaining, gatherings or quiet evenings under the stars. An attached garage a"
15|longhill|07920,15 Long Hill Rd,07920,Basking Ridge,1,3974082,2025-07-09,2026-07-13,2026-07-17,1350000,1350000,4,active,,,4,4.5,5391,130680,1982,Single Family,40.740429,-74.497813,https://www.realtor.com/realestateandhomes-detail/15-Long-Hill-Rd_Basking-Ridge_NJ_07920_M50345-52015,https://ap.rdcpix.com/a7c6f1c685ddc6edfe342ffa42f27008l-m2495391717od-w480_h360_x2.webp?w=1080&q=75,PENDING,372,"The dream home you've always imagined starts here - an architecturally striking property in coveted Harding Twp, just waiting for your vision to take it to the next level. This 4-bedroom, 4.1-bath home with a 3-car garage is thoughtfully constructed with steel reinforcements and offers soaring spaces and unique architectural touches. The two-story great room impresses with a dramatic stone fireplace, tongue-and-groove wood ceilings and walls, skylights, and tall windows that fill the home with natural light. The open yet defined layout offers generous room sizes and excellent flow. The first-floor primary suite is spacious and private, featuring abundant closet space and a sizeable bath. Upstairs, three more bedrooms await, including one with an en-suite bath. A second-floor gallery overlooks the great room, adding volume and drama. Additional highlights include brick-lined and custom ar"
