address,zip,town,list_date,sold_date,days_on_market,list_price,sold_price,sold_vs_ask_pct,property_type,conflicts,_sources
589 Highland Ave,07043,Montclair,2026-04-15,2026-05-22,36,829000,1250000,50.78,Single Family,,listing_scrape
19 The Fairway,07043,Montclair,2026-04-11,2026-06-01,50,1650000,2500000,51.52,Single Family,,listing_scrape
43 Macopin Ave,07043,Montclair,2026-05-04,2026-06-15,41,879000,1487500,69.23,Single Family,,listing_scrape
583 Highland Ave,07043,Montclair,2026-04-27,2026-06-15,48,849000,1380000,62.54,Single Family,,listing_scrape
231 Watchung Ave,07043,Montclair,2026-05-04,2026-07-08,64,899000,1450000,61.29,Single Family,,listing_scrape
33 Upland Way,07044,Verona,2024-11-04,2025-01-21,77,949000,1436000,51.32,Single Family,,listing_scrape
97 Hillside Ave,07044,Verona,2025-01-25,2025-03-10,43,779000,1215000,55.97,Single Family,,listing_scrape
129 Morningside Rd,07044,Verona,2025-03-15,2025-05-06,51,839000,1400000,66.87,Single Family,,listing_scrape
86 Sunset Ave,07044,Verona,2026-02-21,2026-04-01,38,789000,1210000,53.36,Single Family,,listing_scrape
10 Smith Manor Blvd Apt 206,07052,West Orange,2024-02-23,2024-04-08,44,475000,725000,52.63,Condo,,listing_scrape
51 Lessing Rd,07052,West Orange,2025-03-08,2025-04-30,52,729000,1100000,50.89,Single Family,,listing_scrape
57 Winding Way,07052,West Orange,2025-02-19,2025-04-30,69,250000,858000,243.2,Single Family,,listing_scrape
24 Highmount Ave,07059,Warren,2025-05-21,2025-07-22,61,1499000,460000,-69.31,Single Family,,listing_scrape
2054 PROSPECT AVE,07076,Scotch Plains,2024-05-03,2024-06-25,55,889900,9610000,979.9,Single Family,sold_price,"listing_scrape,nj_records"
284 Forest Dr,07078,Short Hills,2024-12-13,2025-02-07,55,1100000,1720000,56.36,Single Family,,listing_scrape
33 Warren Ct,07079,South Orange,2026-02-04,2026-03-23,46,899000,1352000,50.39,Single Family,,listing_scrape
317 Richmond Ave,07079,South Orange,2026-04-15,2026-05-27,41,779000,1175000,50.83,Single Family,,listing_scrape
229 Joan St,07080,South Plainfield,2024-11-15,2025-01-24,69,575000,595,-99.9,Single Family,,listing_scrape
114 Whispering Hills Rd,07080,South Plainfield,2025-07-02,2026-01-23,204,1125000,112500,-90.0,Single Family,,listing_scrape
516 ASHWOOD RD,07081,Springfield,2024-08-04,2024-05-16,,499000,750000,50.3,Single Family,year_built,"listing_scrape,nj_records"
402 S Elmer St,07090,Westfield,2024-04-06,2024-07-19,103,150000,65000,-56.67,Land,,listing_scrape
355 Oak Ave,07095,Woodbridge,2025-07-21,2026-01-14,176,280000,250,-99.91,Single Family,,listing_scrape
436 Diamond Spring Rd,07834,Denville,2025-06-27,2025-11-03,128,200000,303500,51.75,Single Family,,listing_scrape
26 Glenwood Pl,07834,Denville,2026-02-20,2026-05-12,80,300000,703500,134.5,Single Family,,listing_scrape
24 Glenwood Pl,07834,Denville,2026-02-20,2026-05-13,81,300000,567000,89.0,Single Family,,listing_scrape
25 Upper Rainbow Trl,07834,Denville,2026-02-20,2026-05-14,82,300000,861000,187.0,Single Family,,listing_scrape
1398 Sussex Tpke,07869,Randolph,2025-07-23,2024-03-12,,85000,30000,-64.71,Land,,listing_scrape
47 GREENBRIAR DR,07901,Summit,2023-07-19,2023-10-10,82,2250000,1102500,-51.0,Single Family,sold_price,"listing_scrape,nj_records"
2 Elm St,07930,Chester,2025-04-23,2025-05-28,34,300000,651000,117.0,Single Family,,listing_scrape
68 Knollwood Ave,07940,Madison,2026-03-04,2026-05-04,60,1199000,1800000,50.13,Single Family,,listing_scrape
50 Leamoor Dr,07950,Morris Plains,2024-09-08,2025-01-31,144,1650000,300000,-81.82,Land,,listing_scrape
234 Mount Kemble Ave,07960,Morristown,2025-08-27,2025-10-15,48,150000,250000,66.67,Land,,listing_scrape
218 3rd St,08812,Green Brook,2024-02-14,2024-06-07,113,1100000,465000,-57.73,Single Family,,listing_scrape
512 Kenbury Rd,08876,Branchburg,2025-05-29,2025-08-15,77,209900,320000,52.45,Manufactured,,listing_scrape
