"town_order","town","zip_order_within_town","zip_code","dist_mi","elementary_rating_1_to_10","elementary_composite_proficiency_pct","elementary_valid_test_scores","elementary_districts","middle_rating_1_to_10","middle_composite_proficiency_pct","middle_valid_test_scores","middle_districts","high_school_rating_1_to_10","high_school_composite_proficiency_pct","high_school_valid_test_scores","high_school_districts","rating_scope","assignment_note","school_year","rating_method","source_url"
"36","Florham Park","1","07932","15","9","68.7","611","Florham Park School District","8","65.3","605","Florham Park School District","9","75.0","648","Hanover Park Regional High School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"37","Montclair","1","07042","15","8","67.7","2692","Montclair Public School District","8","68.1","2112","Montclair Public School District","8","73.6","1361","Montclair Public School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"37","Montclair","2","07043","15","8","67.7","2692","Montclair Public School District","8","68.1","2112","Montclair Public School District","8","73.6","1361","Montclair Public School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"38","Roseland","1","07068","15","10","80.0","355","Roseland School District","8","64.0","982","West Essex Regional School District","9","74.6","529","West Essex Regional School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"39","Caldwell","1","07006","16","7","60.9","1156","Caldwell-West School District","7","60.5","1154","Caldwell-West School District","8","73.1","349","Caldwell-West School District","Town/district-level proxy attached to the supplied ZIP label","07006 is shared by Caldwell, North Caldwell, and West Caldwell; this row uses Caldwell-West School District.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"40","Cedar Grove","1","07009","16","10","77.9","771","Cedar Grove Township School District","7","61.3","615","Cedar Grove Township School District","9","74.8","194","Cedar Grove Township School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"41","North Caldwell","1","07006","16","10","82.4","550","North Caldwell School District","8","64.0","982","West Essex Regional School District","9","74.6","529","West Essex Regional School District","Town/district-level proxy attached to the supplied ZIP label","07006 is shared by Caldwell, North Caldwell, and West Caldwell; this row uses North Caldwell School District for elementary and West Essex Regional for middle/high.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"42","West Caldwell","1","07006","16","7","60.9","1156","Caldwell-West School District","7","60.5","1154","Caldwell-West School District","8","73.1","349","Caldwell-West School District","INHERITED from Caldwell — same school district","The district is 'Caldwell-West Caldwell' — West Caldwell is in it by name. Rating copied from Caldwell because it is the SAME DISTRICT, not an independent measurement of West Caldwell. Verify the attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"43","Bedminster","1","07921","17","9","69.6","240","Bedminster Township Public School District","9","75.7","275","Bedminster Township Public School District","9","77.5","566","Somerset Hills Regional School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"44","Chatham","1","07928","17","10","77.7","1464","School District Of The Chathams","9","70.6","1435","School District Of The Chathams","10","79.5","581","School District Of The Chathams","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"45","Madison","1","07940","17","9","74.5","1038","Madison Public School District","9","74.7","932","Madison Public School District","10","79.5","370","Madison Public School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"46","Nutley","1","07110","17","7","60.2","1874","Nutley Public School District","8","65.3","1791","Nutley Public School District","7","70.1","876","Nutley Public School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"47","Branchburg","1","08876","18","8","65.7","904","Branchburg Township School District","6","55.4","800","Branchburg Township School District","5","62.4","495","Somerville Public School District","Town/district-level proxy attached to the supplied ZIP label","08876 crosses municipal/county boundaries; this row follows the supplied Branchburg label, with Branchburg Township for elementary/middle and Somerville for high school.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"48","Morristown","1","07960","19","7","56.5","2070","Morris School District","5","45.1","1938","Morris School District","6","64.4","1259","Morris School District","Town/district-level proxy attached to the supplied ZIP label","07960 spans several municipalities; this row follows the supplied Morristown label and uses Morris School District.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"49","Morris Township","1","07960","19","7","56.5","2070","Morris School District","5","45.1","1938","Morris School District","6","64.4","1259","Morris School District","INHERITED from Morristown — same school district","MORRIS TWP and MORRISTOWN share the consolidated MORRIS SCHOOL DISTRICT. Rating copied from Morristown because it is the SAME DISTRICT, not an independent measurement of Morris Township. Verify the attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"50","Bernardsville","1","07924","19","7","60.5","541","Somerset Hills Regional School District","9","70.7","559","Somerset Hills Regional School District","9","77.5","566","Somerset Hills Regional School District","Town/district-level proxy attached to the supplied ZIP label","Computed 2026-07-17. Somerset Hills Regional is K-12 and also serves Far Hills and Peapack-Gladstone, so the rating is the regional district's, not Bernardsville-only. District-level proxy based on the supplied town label; verify the exact attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"51","Cedar Knolls","1","07927","20","8","64.2","824","Hanover Township School District","7","60.8","778","Hanover Township School District","9","75.0","648","Hanover Park Regional High School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"52","Morris Plains","1","07950","21","9","73.7","430","Morris Plains School District","9","76.9","325","Morris Plains School District","8","71.6","1247","Morris Hills Regional School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"53","Denville","1","07834","22","9","72.7","1121","Denville Township K-8 School District","8","67.0","1034","Denville Township K-8 School District","8","71.6","1247","Morris Hills Regional School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"54","Glen Rock","1","07452","22","10","81.2","1254","Glen Rock Public School District","10","77.2","1113","Glen Rock Public School District","10","80.2","373","Glen Rock Public School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"55","Mendham","1","07945","22","10","82.2","849","Mendham Borough School District; Mendham Township School District","10","92.7","715","Mendham Borough School District; Mendham Township School District","9","78.1","955","West Morris Regional High School District","Town/district-level proxy attached to the supplied ZIP label","07945 spans Mendham Borough and Mendham Township; elementary and middle results combine both local districts, while high school uses West Morris Regional.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"56","Boonton","1","07005","23","6","50.1","491","Boonton Town Public School District","7","56.7","513","Boonton Town Public School District","8","72.4","493","Boonton Town Public School District","Town/district-level proxy attached to the supplied ZIP label","07005 spans several Morris County municipalities; this row follows the supplied Boonton label and uses Boonton Town Public School District.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
"57","Montville","1","07045","23","10","79.1","1664","Montville Township School District","9","74.1","1463","Montville Township School District","9","78.9","502","Montville Township School District","Town/district-level proxy attached to the supplied ZIP label","District-level proxy based on the supplied town label. Verify the exact school attendance boundary for any individual property.","2024-25","Custom NJ statewide district decile: 1=bottom 10%, 10=top 10%. Assessment proficiency is weighted by valid test scores.","https://www.nj.gov/education/assessment/results/reports/2425/"
